epoch,step,lr,loss_total,loss_property,loss_generation,loss_contrastive
9,50,7.499999999999999e-06,5.186653137207031,1.0707495212554932,2.3849005699157715,3.462005615234375
19,100,1.4999999999999999e-05,4.36005973815918,1.2731198072433472,1.4766242504119873,3.2206320762634277
29,150,2.2499999999999998e-05,3.6636152267456055,0.8932085037231445,1.3425869941711426,2.8556392192840576
39,200,2.9999999999999997e-05,2.912263870239258,0.5566083192825317,1.234786868095398,2.2417373657226562
49,250,3.75e-05,2.6438794136047363,0.49873360991477966,1.2041934728622437,1.8819046020507812
59,300,4.4999999999999996e-05,2.3267359733581543,0.37250062823295593,1.1615747213363647,1.5853214263916016
69,350,5.2499999999999995e-05,2.153477430343628,0.30693334341049194,1.1471632719039917,1.3987617492675781
79,400,5.9999999999999995e-05,2.241593837738037,0.4189741015434265,1.1551395654678345,1.334960699081421
89,450,6.75e-05,2.003127336502075,0.23295335471630096,1.0875239372253418,1.3653000593185425
99,500,7.5e-05,1.9537432193756104,0.1843426674604416,1.12201726436615,1.2947666645050049
109,550,8.25e-05,1.8687878847122192,0.14173641800880432,1.087711215019226,1.2786805629730225
119,600,8.999999999999999e-05,1.7746264934539795,0.16334326565265656,1.0912303924560547,1.0401055812835693
129,650,9.75e-05,1.6920210123062134,0.10212830454111099,1.0239742994308472,1.1318368911743164
139,700,0.00010499999999999999,1.6088743209838867,0.0936165452003479,1.0473740100860596,0.935767650604248
149,750,0.0001125,1.4475278854370117,0.09984922409057617,0.9846026301383972,0.7261519432067871
159,800,0.00011999999999999999,1.42934250831604,0.090360626578331,0.9779162406921387,0.7221312522888184
169,850,0.00012749999999999998,1.4211047887802124,0.07377501577138901,0.9126907587051392,0.8692781329154968
179,900,0.000135,1.4163740873336792,0.13822627067565918,0.8852014541625977,0.7858927249908447
189,950,0.0001425,1.2384408712387085,0.07441943138837814,0.8642380833625793,0.599566638469696
199,1000,0.00015,1.2639951705932617,0.0929497629404068,0.7751198410987854,0.7918512225151062
